rng_run,bluetooth_enabled,distance_m,simulation_time_s,rx_packets,rx_bytes,throughput_mbps
1,0,3,10,11594,11872256,9.4978
1,1,3,10,11594,11872256,9.4978
2,0,3,10,11593,11871232,9.4970
